,ApproachID,SignalID,Latitude,Longitude,PrimaryName,SecondaryName,IPAddress,RegionID,ControllerTypeID,Enabled,DirectionTypeID,MPH,ProtectedPhaseNumber,IsProtectedPhaseOverlap,PermissivePhaseNumber,ID,DetectorID,Detector,DistanceFromStopBar,MinSpeedFilter,DateAdded,DateDisabled,LaneNumber,MovementTypeID,LaneTypeID,DecisionPoint,MovementDelay,DetectionHardwareID,TimeFromStopBar
0,3,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,2,,1,False,,2.0,210701,1.0,,,2017-01-05 14:49:57,,2.0,3.0,1.0,,,3.0,
1,3,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,2,,1,False,,3.0,210702,2.0,,,2017-01-05 15:12:32,,1.0,3.0,1.0,,,3.0,
2,4,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,1,,5,False,,7.0,210703,3.0,,,2017-01-05 15:14:43,,2.0,3.0,1.0,,,3.0,
3,4,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,1,,5,False,,8.0,210704,4.0,,,2017-01-05 15:14:52,,1.0,3.0,1.0,,,3.0,
4,5,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,3,,3,False,,12.0,210705,5.0,,,2017-01-05 15:15:54,,2.0,3.0,1.0,,,3.0,
5,5,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,3,,3,False,,13.0,210706,6.0,,,2017-01-05 15:16:06,,1.0,3.0,1.0,,,3.0,
6,6,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,4,,4,False,,19.0,210709,9.0,,,2017-01-05 15:17:18,,2.0,1.0,1.0,,,3.0,
7,6,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,4,,4,False,,20.0,210710,10.0,,,2017-01-05 15:17:35,,1.0,1.0,1.0,,,3.0,
8,7,2109,38.070151,-78.484520,US 29 (Seminole Trl.),Greenbrier Dr.,50.232.117.148,5,6,True,2,,1,False,,88.0,210901,1.0,,,2017-02-03 14:05:22,,1.0,3.0,1.0,,,3.0,
9,12,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,3,,8,False,,44.0,210719,19.0,,,2017-01-16 14:46:24,,2.0,1.0,1.0,,,3.0,
10,12,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,3,,8,False,,45.0,210720,20.0,,,2017-01-16 14:46:45,,1.0,1.0,1.0,,,3.0,
11,13,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,4,,7,False,,50.0,210717,17.0,,,2017-01-16 14:49:35,,1.0,3.0,1.0,,,3.0,
12,14,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,2,45.0,6,False,,53.0,210712,12.0,230.0,,2017-01-16 14:54:54,,3.0,1.0,1.0,0.0,,3.0,3.484848484848485
13,14,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,2,45.0,6,False,,54.0,210714,14.0,230.0,,2017-01-16 14:54:54,,2.0,1.0,1.0,0.0,,3.0,3.484848484848485
14,14,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,2,45.0,6,False,,55.0,210716,16.0,230.0,,2017-01-16 14:54:54,,1.0,1.0,1.0,0.0,,3.0,3.484848484848485
15,15,2107,38.062176,-78.491615,US 29 (Seminole Trl.),Rt 743 (Hydraulic Rd.),50.232.117.130,5,6,True,1,40.0,2,False,,58.0,210711,11.0,230.0,,2017-01-16 15:25:04,,1.0,4.0,1.0,0.0,,3.0,3.9204545454545454
